id,clinic_id,daily_record_id,time,type,status,value,staff_id,notes,created_at,updated_at
1,1,3,08:30:00,food,completed,完食,1,朝食：消化器サポート缶,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
2,1,3,12:00:00,other,completed,15分,1,院内歩行。軽快。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
3,1,3,16:00:00,excretion,completed,普通量,2,便：良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
4,1,5,09:00:00,food,completed,半分残す,1,ドライは食べない。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
5,1,5,13:00:00,excretion,completed,多量,1,尿：色は薄い。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
6,1,6,10:00:00,food,completed,完食,2,食欲旺盛。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
7,1,6,15:00:00,other,completed,10分,2,少しふらつきあり（運動）。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
8,1,4,08:00:00,food,completed,完食,1,元気あり。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
9,1,4,17:00:00,excretion,completed,普通,2,尿,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
10,1,10,11:00:00,food,completed,採食なし,1,強制給餌検討。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
11,1,1,09:00:00,medicine,completed,アモキシ,1,朝の投薬完了。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
12,1,1,18:00:00,medicine,completed,アモキシ,1,夕の投薬完了。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
13,1,2,09:00:00,treatment,completed,傷口洗浄,1,浸出液なし。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
14,1,3,20:00:00,other,completed,就寝,2,消灯。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
