id,medical_record_id,status,confirmed_by,confirmed_at,returned_by,returned_at,return_reason,memo,created_at,updated_at
1,61,confirmed,1,2026-07-06 12:59:40.511971+09,,,"",確認済み。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
2,62,confirmed,2,2026-07-06 13:59:40.511971+09,,,"",処置内容問題なし。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
3,63,pending,,,,,"",検査結果待ち。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
4,64,confirmed,1,2026-07-06 14:29:40.511971+09,,,"",手術記録と合致。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
5,66,returned,,,1,2026-07-06 14:39:40.511971+09,処方薬の数量が不整合です。確認お願いします。,差し戻し,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
6,68,confirmed,2,2026-07-06 14:49:40.511971+09,,,"",保険適用確認済み。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
7,70,pending,,,,,"",後ほど確認。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
8,71,confirmed,1,2026-07-06 14:54:40.511971+09,,,"",スケーリング費用適正。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
9,72,returned,,,2,2026-07-06 14:54:40.511971+09,再診料の重複があります。,要修正,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
10,74,pending,,,,,"",救急加算の確認。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
