id,clinic_id,owner_id,pet_id,hospitalization_type,start_date,end_date,status,cage_id,doctor_id,memo,owner_request,staff_notes,insurance_company_name,insurance_number,created_at,updated_at,deleted_at
1,1,3,5,hospitalization,2026-05-20,2026-05-24,admitted,5,1,急性胃腸炎による脱水治療。点滴管理中。,食事のアレルギーに注意してほしい（鶏肉不可）,5/20入院開始。静脈点滴開始。5/21嘔吐1回。5/22状態改善傾向。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,6,8,hospitalization,2026-05-07,2026-05-10,discharged,4,1,外耳炎重症化に伴う入院治療。,怖がりなので優しく接してほしい,"耳道洗浄を毎日実施. 5/10退院時, 症状改善。点耳薬処方。",,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,17,19,hospitalization,2026-04-22,2026-05-02,discharged,,1,骨折治療による入院。手術後経過観察。,"",4/22手術実施。4/27抜糸。5/2退院。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,4,6,hotel,2026-05-25,2026-05-28,reserved,,1,旅行中のホテル預かり。,フードはロイヤルカナンのみ,"",,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,1,1,hospitalization,2026-05-30,2026-06-04,reserved,,1,膝蓋骨脱臼手術予定。術前検査済み。,怖がりなので静かな環境を希望,"",,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,9,11,hospitalization,2026-05-15,2026-05-22,admitted,1,2,慢性腎臓病の集中治療。点滴管理中。,ペルシャ猫のため温度管理に注意,5/15入院。毎日皮下補液実施。5/22現在状態安定。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,3,4,hospitalization,2026-03-15,2026-03-18,discharged,,1,急性胃腸炎による脱水治療。,チキンアレルギーあり,3/15入院。点滴開始。3/18状態改善し退院。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,40,50,hospitalization,2026-05-21,2026-05-25,admitted,2,1,異物摂取による開腹手術後。,安静にさせてほしい,5/21手術。5/22現在自力採食なし。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,42,52,hotel,2026-05-21,2026-05-23,admitted,,2,引越しに伴う一時預かり。,"",5/21入庫。元気食欲あり。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,44,54,hospitalization,2026-05-22,2026-05-24,admitted,3,2,喘息発作の集中管理。酸素室。,パニックになりやすい,5/22朝、呼吸困難で入院。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,46,56,hospitalization,2026-05-10,2026-05-22,admitted,6,1,糖尿病のインスリン用量調整。,性格は穏やか,5/22退院予定。血糖値安定。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,48,58,hotel,2026-05-22,2026-05-24,reserved,,1,法事のため預かり。,"","",,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,50,60,hospitalization,2026-05-18,2026-05-23,admitted,7,2,肝不全の集中治療。,薬が苦手,5/22点滴継続中。黄疸軽減。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,52,62,hospitalization,2026-05-22,2026-05-25,admitted,8,1,咬傷の感染症治療。,他犬が苦手,5/22排膿処置実施。,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,54,64,hotel,2026-05-26,2026-05-28,reserved,,1,出張のため預かり。,"","",,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1000,1,41,73,hotel,2026-05-30,2026-06-01,admitted,11,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1001,1,40,50,hotel,2026-05-30,2026-06-02,admitted,12,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1002,1,13,15,hotel,2026-05-31,2026-06-02,admitted,14,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1003,1,6,8,hotel,2026-05-31,2026-06-03,admitted,17,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1004,1,60,70,hotel,2026-06-01,2026-06-04,reserved,10,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1005,1,8,10,hotel,2026-06-01,2026-06-03,reserved,18,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1006,1,2,3,hotel,2026-06-02,2026-06-04,reserved,13,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1007,1,3,4,hotel,2026-06-02,2026-06-05,reserved,18,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1008,1,22,27,hotel,2026-06-03,2026-06-06,reserved,12,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
