id,medical_record_id,physical_exam,diagnosis_type_id,diagnosis_name_id,diagnosis_2_type_id,diagnosis_2_name_id,diagnosis_details,treatment_policy,created_at,updated_at,deleted_at
1,1,体温38.5℃。心肺音正常。,,,,,健康状態良好。ワクチン接種可。,5種混合ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,2,体重増加あり。他異常なし。,,,,,維持状態良好。,定期検診継続。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,4,右後肢跛行。パテラG2。,8,42,,,膝蓋骨脱臼。,消炎剤処方。体重管理指導。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,5,異常なし。,,,,,予防シーズン開始。,フィラリア予防薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,3,良好。,,,,,年次予防。,ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,6,良好。,,,,,年次予防。,ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,7,良好。,,,,,外部寄生虫予防。,スポットオン投与。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,8,全身に発赤。搔痒感強。,3,6,,,アトピー性皮膚炎。,抗ヒスタミン薬処方。薬用シャンプー推奨。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,9,皮膚の一部に発赤。,3,7,,,膿皮症初期。,洗浄と消毒。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,10,腹部軽度緊張。,1,1,,,急性胃腸炎疑い。,絶食・皮下補液実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,11,耳道内に分泌物。,3,41,,,外耳炎。,耳道洗浄・点耳薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,12,シニア期に入る。,,,,,健康診断実施。,結果待ち。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,13,脱水傾向あり。,1,1,,,急性胃腸炎。,対症療法と食事療法。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
